cluster,leaf_label,AF2_treek100_full,AF2_treek100_top10,AF3_treek100_full,AF3_treek100_top10
ShallowMsa_034,S034,-0.00609031512152685,0.2422099176150289,-0.0270111182542656,0.1947657294148949
ShallowMsa_053,S053,-0.0027109261807926003,-0.29825208148223137,0.020191400080920102,-0.25905991582986676
ShallowMsa_058,S058,-0.00617228028529525,0.1156589833818642,0.0009931200011413,0.0086216975512913
ShallowMsa_013,S013,0.0311779110070075,0.1443986732949647,0.0262755681042462,0.1736966176379227
ShallowMsa_025,S025,-0.0609206506040926,0.1977672514759236,-0.00775387491303,0.1861996552072667
ShallowMsa_031,S031,0.014604650861681799,0.2576185069457229,0.0025904898909103,0.2082082209410358
ShallowMsa_096,S096,-0.01732361380887295,-0.0582954600287927,0.0013341265865818,-0.0867712988981741
ShallowMsa_075,S075,0.06371690992664054,0.1049652460277463,0.0503238325904881,0.2111904770905164
ShallowMsa_071,S071,0.0371429478526667,0.1814392486458402,0.015235994450324,0.2544358932861075
ShallowMsa_015,S015,0.0398321608032928,-0.0409490364181879,0.0227114459369686,0.0126834308040174
ShallowMsa_027,S027,0.025898983593707,0.116815156283037,0.0003635900828035,0.2406306687387261
ShallowMsa_002,S002,0.03177977962764025,0.1323630870615956,0.0291560767174789,0.2294050969207816
ShallowMsa_085,S085,0.01988761703632705,0.1266249198591933,0.0142525113824865,0.2268273050199794
ShallowMsa_059,S059,0.03881777321394905,0.2246271564344542,0.0087435531167199,0.2318995540758519
ShallowMsa_049,S049,0.0126337047379622,-0.164358288811422,0.0033274788589418,-0.0738876829990518
ShallowMsa_021,S021,0.02171454653811895,0.198630956531368,0.0126161831551381,0.2285893699472082
ShallowMsa_062,S062,0.02674258676233995,0.2779890698604165,0.0346470087843575,0.2451520266056638
ShallowMsa_082,S082,0.058631880795094404,0.0490557123398267,0.0632791077469641,0.2766150422483455
ShallowMsa_066,S066,-0.27572291679826644,-0.1001526105880351,-0.3576057491857761,-0.1986102250500273
ShallowMsa_001,S001,0.0121981073707092,0.0567984089991531,0.0194147100604257,0.2475340151781207
ShallowMsa_057,S057,0.01515552082187515,-0.0238018206154974,0.0064595351566,0.2258547999909461
ShallowMsa_044,S044,0.02688916806322205,0.0496778681493906,-0.2004183785796042,-0.0488916837302884
ShallowMsa_064,S064,-0.012850760097938299,0.0310923569302494,-0.0172693673256147,-0.0427720621988915
ShallowMsa_036,S036,0.0595548649864972,0.0597793102122121,0.0217020087600271,0.0224885490133359
ShallowMsa_056,S056,0.0447658147669342,0.2793632933668367,0.0480399419645241,0.2295693835662543
ShallowMsa_045,S045,0.045424168433184,0.1452633689996737,0.0208506855339507,0.2406919255209509
ShallowMsa_043,S043,-0.1045349534303879,-0.0423199081907974,-0.1226193479069864,-0.0857423386006222
ShallowMsa_008,S008,-0.11703205597498625,-0.0718645789572011,-0.1522792926690509,-0.0108133890643197
ShallowMsa_026,S026,-0.16430810182852484,-0.0493798486940578,-0.1092670247719144,-0.0326789203692353
ShallowMsa_022,S022,-0.178944114000691,0.02192855659041,-0.1264234170075857,-0.0987672936755718
ShallowMsa_095,S095,-0.07285261153152955,-0.032869141539599,-0.0693047870564265,0.0
ShallowMsa_011,S011,-0.01005041419407325,-0.2281015257686801,-0.0067054003500788,-0.361555761240862
ShallowMsa_047,S047,-0.11311129642916265,0.0889192250156035,-0.11740286996638,0.0024099848746365
ShallowMsa_012,S012,0.00034015858692385,-0.0612623643532103,-0.0031267176620818,-0.2321669608825748
