mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_062,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_062.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_063,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_063.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_064,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_064.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_065,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_065.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_066,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_066.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_067,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_067.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_068,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_068.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_069,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_069.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_070,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_070.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_071,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_071.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_072,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_072.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_073,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_073.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_074,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_074.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_075,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_075.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_076,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_076.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_077,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_077.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_078,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_078.cif,"Sequence is too short <3!
",
