pair_id,cluster,n_seqs,mean_pid_to_F1,median_pid_to_F1,mean_pid_to_F2,median_pid_to_F2,mean_pid_to_query,median_pid_to_query
1fzpD_2frhA,ShallowMsa_028,23,0.25836818944043183,0.2619047619047619,,,0.25836818944043183,0.2619047619047619
1fzpD_2frhA,ShallowMsa_029,23,0.24609408372468397,0.24390243902439024,,,0.24609408372468397,0.24390243902439024
1fzpD_2frhA,ShallowMsa_030,23,0.22165171545197718,0.2222222222222222,,,0.22165171545197718,0.2222222222222222
1fzpD_2frhA,ShallowMsa_031,23,0.27430480945285096,0.2619047619047619,,,0.27430480945285096,0.2619047619047619
1fzpD_2frhA,ShallowMsa_032,22,0.24058430396703107,0.23930078360458107,,,0.24058430396703107,0.23930078360458107
1fzpD_2frhA,ShallowMsa_033,22,0.2573253597739537,0.25,,,0.2573253597739537,0.25
1fzpD_2frhA,ShallowMsa_034,21,0.2439985847297604,0.23728813559322035,,,0.2439985847297604,0.23728813559322035
1fzpD_2frhA,ShallowMsa_035,21,0.25790648557634105,0.2564102564102564,,,0.25790648557634105,0.2564102564102564
1fzpD_2frhA,ShallowMsa_036,21,0.22435060745165275,0.21951219512195122,,,0.22435060745165275,0.21951219512195122
1fzpD_2frhA,ShallowMsa_037,21,0.261938383268256,0.2619047619047619,,,0.261938383268256,0.2619047619047619
1fzpD_2frhA,ShallowMsa_038,21,0.2679442534115247,0.2727272727272727,,,0.2679442534115247,0.2727272727272727
1fzpD_2frhA,ShallowMsa_039,20,0.33361312232897367,0.3473684210526316,,,0.33361312232897367,0.3473684210526316
1fzpD_2frhA,ShallowMsa_040,20,0.27909861953586956,0.26969696969696966,,,0.27909861953586956,0.26969696969696966
1fzpD_2frhA,ShallowMsa_041,20,0.2853906557622496,0.27793103448275863,,,0.2853906557622496,0.27793103448275863
1fzpD_2frhA,ShallowMsa_042,19,0.24873334922913332,0.25,,,0.24873334922913332,0.25
1fzpD_2frhA,ShallowMsa_043,19,0.28461094950695,0.28205128205128205,,,0.28461094950695,0.28205128205128205
1fzpD_2frhA,ShallowMsa_044,19,0.2566275509366475,0.25,,,0.2566275509366475,0.25
1fzpD_2frhA,ShallowMsa_045,19,0.2579112690171686,0.2564102564102564,,,0.2579112690171686,0.2564102564102564
1fzpD_2frhA,ShallowMsa_046,19,0.27911767891177575,0.2777777777777778,,,0.27911767891177575,0.2777777777777778
1fzpD_2frhA,ShallowMsa_047,18,0.2845513252225461,0.293005517689062,,,0.2845513252225461,0.293005517689062
1fzpD_2frhA,ShallowMsa_048,17,0.33734847595274603,0.3258426966292135,,,0.33734847595274603,0.3258426966292135
1fzpD_2frhA,ShallowMsa_049,16,0.29157239281105624,0.27967479674796747,,,0.29157239281105624,0.27967479674796747
1fzpD_2frhA,ShallowMsa_050,16,0.2619185819262039,0.2657051282051282,,,0.2619185819262039,0.2657051282051282
1fzpD_2frhA,ShallowMsa_051,16,0.2589698286050837,0.25,,,0.2589698286050837,0.25
1fzpD_2frhA,ShallowMsa_052,16,0.30304440828758783,0.30919117647058825,,,0.30304440828758783,0.30919117647058825
1fzpD_2frhA,ShallowMsa_053,15,0.24856577027308735,0.25,,,0.24856577027308735,0.25
1fzpD_2frhA,ShallowMsa_054,15,0.25473178803340546,0.25757575757575757,,,0.25473178803340546,0.25757575757575757
1fzpD_2frhA,ShallowMsa_055,14,0.3929218426501035,0.3958333333333333,,,0.3929218426501035,0.3958333333333333
1fzpD_2frhA,ShallowMsa_056,14,0.3052304720070355,0.3146464646464646,,,0.3052304720070355,0.3146464646464646
1fzpD_2frhA,ShallowMsa_057,14,0.24817575374053777,0.25,,,0.24817575374053777,0.25
1fzpD_2frhA,ShallowMsa_058,14,0.26263769083569394,0.25,,,0.26263769083569394,0.25
1fzpD_2frhA,ShallowMsa_059,14,0.282756030733972,0.2878787878787879,,,0.282756030733972,0.2878787878787879
1fzpD_2frhA,ShallowMsa_060,13,0.2937278138413113,0.29347826086956524,,,0.2937278138413113,0.29347826086956524
1fzpD_2frhA,ShallowMsa_061,13,0.2767750086138252,0.2702702702702703,,,0.2767750086138252,0.2702702702702703
1fzpD_2frhA,ShallowMsa_062,13,0.2226935854842832,0.21428571428571427,,,0.2226935854842832,0.21428571428571427
1fzpD_2frhA,ShallowMsa_063,13,0.24354970756450867,0.2391304347826087,,,0.24354970756450867,0.2391304347826087
1fzpD_2frhA,ShallowMsa_064,13,0.2512646864167436,0.2564102564102564,,,0.2512646864167436,0.2564102564102564
1fzpD_2frhA,ShallowMsa_065,13,0.2644802039736373,0.2564102564102564,,,0.2644802039736373,0.2564102564102564
1fzpD_2frhA,ShallowMsa_066,13,0.23923154250042705,0.23809523809523808,,,0.23923154250042705,0.23809523809523808
1fzpD_2frhA,ShallowMsa_067,13,0.22522807713361248,0.22727272727272727,,,0.22522807713361248,0.22727272727272727
1fzpD_2frhA,ShallowMsa_068,13,0.24829478453406054,0.2537313432835821,,,0.24829478453406054,0.2537313432835821
1fzpD_2frhA,ShallowMsa_069,13,0.2826721117600186,0.28125,,,0.2826721117600186,0.28125
1fzpD_2frhA,ShallowMsa_070,12,0.272550975177305,0.2765957446808511,,,0.272550975177305,0.2765957446808511
1fzpD_2frhA,ShallowMsa_071,12,0.30293203133434743,0.2948717948717949,,,0.30293203133434743,0.2948717948717949
1fzpD_2frhA,ShallowMsa_072,12,0.26898085391813537,0.27525252525252525,,,0.26898085391813537,0.27525252525252525
1fzpD_2frhA,ShallowMsa_073,12,0.24006581875571262,0.24722222222222223,,,0.24006581875571262,0.24722222222222223
1fzpD_2frhA,ShallowMsa_074,12,0.26149728850029647,0.26296296296296295,,,0.26149728850029647,0.26296296296296295
1fzpD_2frhA,ShallowMsa_075,12,0.23140796732398097,0.2260093896713615,,,0.23140796732398097,0.2260093896713615
1fzpD_2frhA,ShallowMsa_076,12,0.28108594793253,0.27692307692307694,,,0.28108594793253,0.27692307692307694
1fzpD_2frhA,ShallowMsa_077,11,0.24361523059514453,0.24324324324324326,,,0.24361523059514453,0.24324324324324326
1fzpD_2frhA,ShallowMsa_078,11,0.24286537557047538,0.23076923076923078,,,0.24286537557047538,0.23076923076923078
1fzpD_2frhA,ShallowMsa_079,11,0.2837269746866778,0.275,,,0.2837269746866778,0.275
1fzpD_2frhA,ShallowMsa_080,11,0.2957741870532568,0.3,,,0.2957741870532568,0.3
1fzpD_2frhA,ShallowMsa_081,11,0.2433982683982684,0.23809523809523808,,,0.2433982683982684,0.23809523809523808
1fzpD_2frhA,ShallowMsa_082,11,0.2518111892434541,0.2558139534883721,,,0.2518111892434541,0.2558139534883721
1fzpD_2frhA,ShallowMsa_083,11,0.23939810041306772,0.23404255319148937,,,0.23939810041306772,0.23404255319148937
1fzpD_2frhA,ShallowMsa_084,11,0.2929283647234198,0.29545454545454547,,,0.2929283647234198,0.29545454545454547
1fzpD_2frhA,ShallowMsa_085,11,0.25031693789915843,0.25,,,0.25031693789915843,0.25
