pair_id,pdbid1,chain1,name1,organism1,pdbid2,chain2,name2,organism2,display_name
1qb3A_3qy2A,1qb3,A,CYCLIN-DEPENDENT KINASES REGULATORY SUBUNIT,Saccharomyces cerevisiae,3qy2,A,Cyclin-dependent kinases regulatory subunit,Saccharomyces cerevisiae,CYCLIN-DEPENDENT KINASES REGULATORY SUBUNIT
1qlnA_1h38D,1qln,A,BACTERIOPHAGE T7 RNA POLYMERASE,Escherichia phage T7,1h38,D,DNA-DIRECTED RNA POLYMERASE,Escherichia phage T7,BACTERIOPHAGE T7 RNA POLYMERASE / DNA-DIRECTED RNA POLYMERASE
2z9oB_1repC,2z9o,B,Replication initiation protein,Escherichia coli K-12,1rep,C,PROTEIN (REPLICATION INITIATION PROTEIN),Escherichia coli,Replication initiation protein / PROTEIN (REPLICATION INITIATION PROTEIN)
1svfC_4wsgC,1svf,C,PROTEIN (FUSION GLYCOPROTEIN),Simian virus 5 (strain W3),4wsg,C,Fusion glycoprotein F0,Mammalian orthorubulavirus 5,PROTEIN (FUSION GLYCOPROTEIN) / Fusion glycoprotein F0
2namA_1uxmK,2nam,A,Superoxide dismutase [Cu-Zn],Homo sapiens,1uxm,K,SUPEROXIDE DISMUTASE [CU-ZN],Homo sapiens,Superoxide dismutase [Cu-Zn]
1wp8C_5ejbC,1wp8,C,"Fusion glycoprotein F0,Fusion glycoprotein F0",Henipavirus hendraense,5ejb,C,Fusion glycoprotein F0,Henipavirus hendraense,"Fusion glycoprotein F0,Fusion glycoprotein F0 / Fusion glycoprotein F0"
1x0gD_1x0gA,1x0g,D,IscA,Thermosynechococcus vestitus BP-1,1x0g,A,IscA,Thermosynechococcus vestitus BP-1,IscA
1xjuB_1xjtA,1xju,B,Lysozyme,Punavirus P1,1xjt,A,Lysozyme,Punavirus P1,Lysozyme
3lqcA_1xntA,3lqc,A,DNA repair protein XRCC1,Homo sapiens,1xnt,A,PROTEIN (DNA-REPAIR PROTEIN XRCC1),Homo sapiens,DNA repair protein XRCC1 / PROTEIN (DNA-REPAIR PROTEIN XRCC1)
3l5nB_2a73B,3l5n,B,Complement C3,Homo sapiens,2a73,B,Complement C3,Homo sapiens,Complement C3
2bzyB_2lqwA,2bzy,B,CRK-LIKE PROTEIN,Homo sapiens,2lqw,A,Crk-like protein,Homo sapiens,CRK-LIKE PROTEIN
2c1vB_2c1uC,2c1v,B,DI-HAEM CYTOCHROME C PEROXIDASE,Paracoccus pantotrophus,2c1u,C,DI-HAEM CYTOCHROME C PEROXIDASE,Paracoccus pantotrophus,DI-HAEM CYTOCHROME C PEROXIDASE
2grmB_2axzA,2grm,B,PrgX,Enterococcus faecalis,2axz,A,PrgX,Enterococcus faecalis,PrgX
2h44A_1rkpA,2h44,A,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens,1rkp,A,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens,"cGMP-specific 3',5'-cyclic phosphodiesterase"
